Tool,Isolation,Optimization Target,Cell Type,Capacity (KB),Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
Destiny,iso_area,ReadLatency,STTRAM,16,72878.8,1.53123,10.0569,10.8595,1.59588,265.89,363.111,2464.18
Destiny,iso_area,ReadLatency,STTRAM,32,112062,1.55343,10.068,10.8595,1.59588,270.286,367.508,4928.35
Destiny,iso_area,ReadLatency,STTRAM,64,113801,1.60666,10.1206,10.8417,1.59433,272.89,370.117,4931.51
Destiny,iso_area,ReadLatency,STTRAM,128,77293.1,1.62149,10.1463,10.7612,1.59426,271.155,368.416,2471.94
Destiny,iso_area,ReadLatency,STTRAM,256,120647,1.64858,10.1599,10.7612,1.59426,277.07,374.331,4943.89
Destiny,iso_area,ReadLatency,STTRAM,512,77737.7,1.67455,10.1953,10.1156,1.58811,275.711,373.288,1253.4
Destiny,iso_area,ReadLatency,STTRAM,1024,121293,1.68806,10.2021,10.1156,1.58811,281.009,378.587,2506.8
Destiny,iso_area,ReadLatency,STTRAM,2048,208162,1.74211,10.2291,10.1156,1.58811,287.749,385.326,5013.6
Destiny,iso_area,ReadLatency,STTRAM,4096,205876,1.81259,10.2881,8.31438,1.58794,291.803,390.455,2623.7
Destiny,iso_area,ReadLatency,SRAM,16,38552.5,0.03,0.029,742.573,667.538,229.929,229.735,7.46493
Destiny,iso_area,ReadLatency,SRAM,32,43409,0.036,0.032,742.573,667.538,232.589,232.395,14.9299
Destiny,iso_area,ReadLatency,SRAM,64,53428.5,0.054,0.048,489.215,421.442,236.148,235.763,27.5784
Destiny,iso_area,ReadLatency,SRAM,128,55972.7,0.076,0.068,482.788,380.472,237.743,237.352,37.067
Destiny,iso_area,ReadLatency,SRAM,256,80424.3,0.102,0.09,373.83,280.426,242.465,241.685,73.2387
Destiny,iso_area,ReadLatency,SRAM,512,104266,0.137,0.119,234.602,194.872,245.238,244.704,122.111
Destiny,iso_area,ReadLatency,SRAM,1024,172814,0.184,0.152,211.607,163.797,252.148,251.083,228.057
Destiny,iso_area,ReadLatency,SRAM,2048,203108,0.252,0.211,190.131,167.909,255.931,254.181,266.258
Destiny,iso_area,ReadLatency,SRAM,4096,281358,0.37,0.305,120.884,99.5623,262.035,260.519,447.798
Destiny,iso_area,ReadLatency,RRAM,16,99060.7,1.57996,20.0704,10.6414,0.799,315.508,621.725,2461.68
Destiny,iso_area,ReadLatency,RRAM,32,164425,1.60799,20.0844,10.6414,0.799,321.347,627.563,4923.35
Destiny,iso_area,ReadLatency,RRAM,64,167720,1.64784,20.1143,10.3702,0.797,285.562,630.225,4934.61
Destiny,iso_area,ReadLatency,RRAM,128,174163,1.68428,20.1167,10.1778,0.798,267.61,631.493,4967.04
Destiny,iso_area,ReadLatency,RRAM,256,104569,1.70972,20.233,9.59956,0.797,264.799,648.033,627.309
Destiny,iso_area,ReadLatency,RRAM,512,174956,1.74073,20.2485,9.59956,0.797,271.792,655.027,1254.62
Destiny,iso_area,ReadLatency,RRAM,1024,136754,1.75013,20.2591,9.50219,0.796,272.146,655.049,1257.22
Destiny,iso_area,ReadLatency,RRAM,2048,239083,1.78587,20.277,9.50219,0.796,278.601,661.504,2514.44
