Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/16KB/16KB.out,72878.8,1.53123,10.0569,10.8595,1.59588,265.89,363.111,2464.18
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/32KB/32KB.out,112062,1.55343,10.068,10.8595,1.59588,270.286,367.508,4928.35
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/64KB/64KB.out,113801,1.60666,10.1206,10.8417,1.59433,272.89,370.117,4931.51
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/128KB/128KB.out,77293.1,1.62149,10.1463,10.7612,1.59426,271.155,368.416,2471.94
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/256KB/256KB.out,120647,1.64858,10.1599,10.7612,1.59426,277.07,374.331,4943.89
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/512KB/512KB.out,77737.7,1.67455,10.1953,10.1156,1.58811,275.711,373.288,1253.4
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/1024KB/1024KB.out,121293,1.68806,10.2021,10.1156,1.58811,281.009,378.587,2506.8
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/2048KB/2048KB.out,208162,1.74211,10.2291,10.1156,1.58811,287.749,385.326,5013.6
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/4096KB/4096KB.out,205876,1.81259,10.2881,8.31438,1.58794,291.803,390.455,2623.7
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/16KB/16KB.out,38552.5,0.03,0.029,742.573,667.538,229.929,229.735,7.46493
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/32KB/32KB.out,43409,0.036,0.032,742.573,667.538,232.589,232.395,14.9299
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/64KB/64KB.out,53428.5,0.054,0.048,489.215,421.442,236.148,235.763,27.5784
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/128KB/128KB.out,55972.7,0.076,0.068,482.788,380.472,237.743,237.352,37.067
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/256KB/256KB.out,80424.3,0.102,0.09,373.83,280.426,242.465,241.685,73.2387
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/512KB/512KB.out,104266,0.137,0.119,234.602,194.872,245.238,244.704,122.111
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/1024KB/1024KB.out,172814,0.184,0.152,211.607,163.797,252.148,251.083,228.057
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/2048KB/2048KB.out,203108,0.252,0.211,190.131,167.909,255.931,254.181,266.258
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/4096KB/4096KB.out,281358,0.37,0.305,120.884,99.5623,262.035,260.519,447.798
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/16KB/16KB.out,99060.7,1.57996,20.0704,10.6414,0.799,315.508,621.725,2461.68
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/32KB/32KB.out,164425,1.60799,20.0844,10.6414,0.799,321.347,627.563,4923.35
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/64KB/64KB.out,167720,1.64784,20.1143,10.3702,0.797,285.562,630.225,4934.61
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/128KB/128KB.out,174163,1.68428,20.1167,10.1778,0.798,267.61,631.493,4967.04
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/256KB/256KB.out,104569,1.70972,20.233,9.59956,0.797,264.799,648.033,627.309
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/512KB/512KB.out,174956,1.74073,20.2485,9.59956,0.797,271.792,655.027,1254.62
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/1024KB/1024KB.out,136754,1.75013,20.2591,9.50219,0.796,272.146,655.049,1257.22
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/2048KB/2048KB.out,239083,1.78587,20.277,9.50219,0.796,278.601,661.504,2514.44
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/RRAM/4096KB/4096KB.out,161466,1.81467,20.4934,7.23358,0.788,277.563,715.671,1311.55
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/16KB/16KB.out,41054.6,0.044,150.025,492.303,0.107,290.67,11750.9,7.97047
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/32KB/32KB.out,48413.2,0.055,150.031,492.303,0.107,293.986,11754.2,15.9409
