Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/16KB/16KB.out,72878.8um^2,1.53123ns,,10.8595GB/s,1.59588GB/s,265.89pJ,363.111pJ,2464.18mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/32KB/32KB.out,112062um^2,1.55343ns,,10.8595GB/s,1.59588GB/s,270.286pJ,367.508pJ,4928.35mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/64KB/64KB.out,113801um^2,1.60666ns,,10.8417GB/s,1.59433GB/s,272.89pJ,370.117pJ,4931.51mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/128KB/128KB.out,77293.1um^2,1.62149ns,,10.7612GB/s,1.59426GB/s,271.155pJ,368.416pJ,2471.94mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/256KB/256KB.out,120647um^2,1.64858ns,,10.7612GB/s,1.59426GB/s,277.07pJ,374.331pJ,4943.89mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/512KB/512KB.out,77737.7um^2,1.67455ns,,10.1156GB/s,1.58811GB/s,275.711pJ,373.288pJ,1253.4mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/1024KB/1024KB.out,121293um^2,1.68806ns,,10.1156GB/s,1.58811GB/s,281.009pJ,378.587pJ,2506.8mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/2048KB/2048KB.out,208162um^2,1.74211ns,,10.1156GB/s,1.58811GB/s,287.749pJ,385.326pJ,5013.6mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/STTRAM/4096KB/4096KB.out,205876um^2,1.81259ns,,8.31438GB/s,1.58794GB/s,291.803pJ,390.455pJ,2623.7mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/SRAM/16KB/16KB.out,38552.5um^2,0.03ps,0.029ps,742.573GB/s,667.538GB/s,229.929pJ,229.735pJ,7.46493uW
