Configuration,Total_Area,Read_L,Write_L,Read_BW,Write_BW,RDE,WDE,Leakage_Power
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/16KB/16KB.out,86384.290um^2,1.648ns,10.160ns,10.761GB/s,1.594GB/s,43.931pJ,141.192pJ,308.993uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/32KB/32KB.out,43393.687um^2,1.674ns,10.195ns,10.116GB/s,1.588GB/s,41.562pJ,139.140pJ,78.337uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/64KB/64KB.out,86787.374um^2,1.688ns,10.202ns,10.116GB/s,1.588GB/s,44.843pJ,142.420pJ,156.675uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/128KB/128KB.out,173574.749um^2,1.742ns,10.229ns,10.116GB/s,1.588GB/s,50.572pJ,148.150pJ,313.350uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/256KB/256KB.out,171126.657um^2,1.812ns,10.288ns,8.314GB/s,1.588GB/s,52.608pJ,151.261pJ,163.981uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/512KB/512KB.out,246291.778um^2,1.911ns,10.386ns,8.281GB/s,1.575GB/s,51.041pJ,149.182pJ,176.874uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/1024KB/1024KB.out,543128.201um^2,2.064ns,10.438ns,9.965GB/s,1.572GB/s,63.214pJ,159.449pJ,665.295uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/2048KB/2048KB.out,775236.794um^2,2.216ns,10.548ns,8.213GB/s,1.570GB/s,68.275pJ,165.540pJ,382.681uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/4096KB/4096KB.out,1.550mm^2,2.664ns,10.772ns,8.213GB/s,1.570GB/s,83.964pJ,181.228pJ,765.362uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/16KB/16KB.out,46161.307um^2,101.801ps,90.401ps,373.830GB/s,280.426GB/s,9.326pJ,8.545pJ,4.577uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/32KB/32KB.out,69922.156um^2,136.768ps,119.031ps,234.602GB/s,194.872GB/s,11.090pJ,10.556pJ,7.632uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/64KB/64KB.out,138308.477um^2,183.941ps,152.319ps,211.607GB/s,163.797GB/s,15.981pJ,14.917pJ,14.254uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/128KB/128KB.out,168520.648um^2,251.810ps,210.557ps,190.131GB/s,167.909GB/s,18.754pJ,17.005pJ,16.641uW
