Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/16KB/16KB.out,86384.290,1.648,10.160,10.761,1.594,43.931,141.192,308.993
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/32KB/32KB.out,43393.687,1.674,10.195,10.116,1.588,41.562,139.140,78.337
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/64KB/64KB.out,86787.374,1.688,10.202,10.116,1.588,44.843,142.420,156.675
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/128KB/128KB.out,173574.749,1.742,10.229,10.116,1.588,50.572,148.150,313.350
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/256KB/256KB.out,171126.657,1.812,10.288,8.314,1.588,52.608,151.261,163.981
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/512KB/512KB.out,246291.778,1.911,10.386,8.281,1.575,51.041,149.182,176.874
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/1024KB/1024KB.out,543128.201,2.064,10.438,9.965,1.572,63.214,159.449,665.295
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/2048KB/2048KB.out,775236.794,2.216,10.548,8.213,1.570,68.275,165.540,382.681
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/STTRAM/4096KB/4096KB.out,1550000.0,2.664,10.772,8.213,1.570,83.964,181.228,765.362
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/16KB/16KB.out,46161.307,0.102,0.09,373.830,280.426,9.326,8.545,4.577
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/32KB/32KB.out,69922.156,0.137,0.119,234.602,194.872,11.090,10.556,7.632
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/64KB/64KB.out,138308.477,0.184,0.152,211.607,163.797,15.981,14.917,14.254
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/128KB/128KB.out,168520.648,0.252,0.211,190.131,167.909,18.754,17.005,16.641
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/256KB/256KB.out,246608.565,0.37,0.304,120.884,99.562,22.841,21.324,27.987
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/512KB/512KB.out,585999.508,0.54,0.406,145.645,94.246,33.654,31.083,83.385
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/1024KB/1024KB.out,892661.510,0.754,0.544,80.837,70.941,43.117,38.944,121.209
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/2048KB/2048KB.out,1593000.0,1.154,0.77,74.786,59.551,62.400,54.081,229.041
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/SRAM/4096KB/4096KB.out,3010000.0,1.855,1.141,48.276,52.669,85.759,73.098,427.646
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/16KB/16KB.out,70316.972,1.708,20.299,9.606,0.794,32.066,93.016,39.240
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/32KB/32KB.out,140633.944,1.739,20.315,9.606,0.794,38.051,99.001,78.479
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/64KB/64KB.out,72897.909,1.770,20.362,9.398,0.791,32.666,93.168,78.768
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/128KB/128KB.out,145795.817,1.807,20.381,9.398,0.791,37.380,97.882,157.536
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/256KB/256KB.out,91158.558,1.852,20.477,7.121,0.789,37.553,109.267,82.086
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/512KB/512KB.out,256288.978,1.909,20.494,7.114,0.789,50.507,122.339,168.852
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/1024KB/1024KB.out,239589.012,1.950,20.508,7.039,0.789,55.451,126.470,181.583
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/2048KB/2048KB.out,327564.767,2.013,20.621,5.343,0.786,66.547,152.163,194.460
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/RRAM/4096KB/4096KB.out,655129.534,2.197,20.713,5.343,0.786,77.818,163.434,388.921
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/16KB/16KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/32KB/32KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/64KB/64KB.out,,,,,,,,
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/NVSim/iso_area/ReadLatency/PCRAM/128KB/128KB.out,,,,,,,,
