cache size(KB) and associativity,total leakage power (mW)
SRAM_cache_16_RRAM,0.193
SRAM_cache_16_SRAM,0.002
SRAM_cache_16_STTRAM,0.846
SRAM_cache_32_RRAM,0.193
SRAM_cache_32_SRAM,0.005
SRAM_cache_32_STTRAM,0.174
SRAM_cache_64_RRAM,0.194
SRAM_cache_64_SRAM,0.011
SRAM_cache_64_STTRAM,0.174
SRAM_cache_128_RRAM,0.195
SRAM_cache_128_SRAM,0.021
SRAM_cache_128_STTRAM,0.272
SRAM_cache_256_RRAM,0.274
SRAM_cache_256_SRAM,0.033
SRAM_cache_256_STTRAM,0.506
SRAM_cache_512_RRAM,0.547
SRAM_cache_512_SRAM,0.076
SRAM_cache_512_STTRAM,0.339
SRAM_cache_1024_RRAM,0.556
SRAM_cache_1024_SRAM,0.118
SRAM_cache_1024_STTRAM,0.658
SRAM_cache_2048_RRAM,0.884
SRAM_cache_2048_SRAM,0.228
SRAM_cache_2048_STTRAM,1.007
