Cache Capacity and Levels Per Cell,Total Area (um^2),,,
output_cache16_levels2,193702.947,,,
output_cache16_levels4,100814.402,,,
output_cache16_levels8,100814.402,,,
output_cache32_levels2,193702.947,,,
output_cache32_levels4,100814.402,,,
output_cache32_levels8,100814.402,,,
output_cache64_levels2,193702.947,,,
output_cache64_levels4,100814.402,,,
output_cache64_levels8,100814.402,,,
output_cache128_levels2,193702.947,,,
output_cache128_levels4,100814.402,,,
output_cache128_levels8,100814.402,,,
output_cache256_levels2,193702.947,,,
output_cache256_levels4,100814.402,,,
output_cache256_levels8,100814.402,,,
output_cache512_levels2,193702.947,,,
output_cache512_levels4,100814.402,,,
output_cache512_levels8,100814.402,,,
output_cache1024_levels2,193702.947,,,
output_cache1024_levels4,100814.402,,,
output_cache1024_levels8,100814.402,,,
output_cache2048_levels2,193702.947,,,
output_cache2048_levels4,100814.402,,,
output_cache2048_levels8,100814.402,,,
output_cache4096_levels2,193702.947,,,
output_cache4096_levels4,100814.402,,,
output_cache4096_levels8,100814.402,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,"grep --color=none ""Total Area = "" output_cache*_levels* | grep --color=none -E -o -p "".{0,10}(um\^2)"" | grep -E -o ""([0-9]{0,6}.[0-9]{3})""",
