cache size(KB) and associativity,read access time (ns),read energy (nJ)
SRAM_cache_16_1,0.998,0.003
SRAM_cache_16_2,0.985,0.003
SRAM_cache_16_4,0.966,0.003
SRAM_cache_16_8,0.917,0.004
SRAM_cache_16_16,0.917,0.004
SRAM_cache_32_1,0.524,0.03
SRAM_cache_32_2,0.522,0.03
SRAM_cache_32_4,0.461,0.03
SRAM_cache_32_8,0.463,0.031
SRAM_cache_32_16,0.47,0.031
SRAM_cache_64_1,0.674,0.046
SRAM_cache_64_2,0.671,0.046
SRAM_cache_64_4,0.558,0.047
SRAM_cache_64_8,0.585,0.047
SRAM_cache_64_16,0.499,0.048
SRAM_cache_128_1,0.627,0.057
SRAM_cache_128_2,0.6,0.057
SRAM_cache_128_4,0.599,0.057
SRAM_cache_128_8,0.624,0.057
SRAM_cache_128_16,0.636,0.058
SRAM_cache_256_1,0.509,0.079
SRAM_cache_256_2,0.759,0.078
SRAM_cache_256_4,0.711,0.078
SRAM_cache_256_8,0.73,0.078
SRAM_cache_256_16,0.738,0.079
SRAM_cache_512_1,0.617,0.113
SRAM_cache_512_2,0.637,0.113
SRAM_cache_512_4,0.902,0.112
SRAM_cache_512_8,0.904,0.112
SRAM_cache_512_16,0.889,0.113
SRAM_cache_1024_1,0.98,0.128
SRAM_cache_1024_2,0.989,0.128
SRAM_cache_1024_4,1.154,0.127
SRAM_cache_1024_8,1.244,0.127
SRAM_cache_1024_16,1.458,0.127
SRAM_cache_2048_1,1.471,0.175
SRAM_cache_2048_2,1.479,0.176
SRAM_cache_2048_4,1.606,0.175
SRAM_cache_2048_8,1.693,0.175
SRAM_cache_2048_16,1.927,0.174
