cache size(KB) and associativity,total area (F^2)
SRAM_cache_16_1,146
SRAM_cache_16_2,146
SRAM_cache_16_4,146
SRAM_cache_16_8,146
SRAM_cache_16_16,146
SRAM_cache_32_1,146
SRAM_cache_32_2,146
SRAM_cache_32_4,146
SRAM_cache_32_8,146
SRAM_cache_32_16,146
SRAM_cache_64_1,146
SRAM_cache_64_2,146
SRAM_cache_64_4,146
SRAM_cache_64_8,146
SRAM_cache_64_16,146
SRAM_cache_128_1,146
SRAM_cache_128_2,146
SRAM_cache_128_4,146
SRAM_cache_128_8,146
SRAM_cache_128_16,146
SRAM_cache_256_1,146
SRAM_cache_256_2,146
SRAM_cache_256_4,146
SRAM_cache_256_8,146
SRAM_cache_256_16,146
SRAM_cache_512_1,146
SRAM_cache_512_2,146
SRAM_cache_512_4,146
SRAM_cache_512_8,146
SRAM_cache_512_16,146
SRAM_cache_1024_1,146
SRAM_cache_1024_2,146
SRAM_cache_1024_4,146
SRAM_cache_1024_8,146
SRAM_cache_1024_16,146
SRAM_cache_2048_1,146
SRAM_cache_2048_2,146
SRAM_cache_2048_4,146
SRAM_cache_2048_8,146
SRAM_cache_2048_16,146
